"id","deleted_at","created_at","updated_at","name","title_page","version","isbn","ncmhce","nce","ceu"
98,,"2016-04-10 15:26:41","2016-11-28 08:59:24","NCMHCE Study Supplement",,,,FALSE,FALSE,FALSE
99,,"2016-04-10 15:27:28","2016-04-10 15:27:28","NCE Study Guide",,,,FALSE,FALSE,FALSE
